Opportunity ID,Stage / Market,Language,Pricing,Payments,Compliance,Product,Sales,Marketing,Support,Integrations,Go / No-Go Gate
SAAS-002,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 2000.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Recurring visit scheduler,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; CSV; email; calendar; one accounting export,Language and e-invoicing legal review complete
SAAS-002,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 2000.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Recurring visit scheduler,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; CSV; email; calendar; one accounting export,CAD willingness-to-pay and timezone support validated
SAAS-002,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 2000.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Recurring visit scheduler,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; CSV; email; calendar; one accounting export",Choose one country; legal/PSP/data path and2 pilots
SAAS-002,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 2000.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Recurring visit scheduler,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; CSV; email; calendar; one accounting export,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-003,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Mobile POD upload,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; TMS CSV first; driver upload; accounting export; one TMS API later,3 unrelated pilots; legal data path before live processing
SAAS-003,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Mobile POD upload,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; TMS CSV first; driver upload; accounting export; one TMS API later,2 prepaid customers; qualified partner; support economics viable
SAAS-003,3 France,French; French accounting terminology,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Mobile POD upload,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; TMS CSV first; driver upload; accounting export; one TMS API later,2 paid pilots; one supported connector; real competitive win
SAAS-003,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Mobile POD upload,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; TMS CSV first; driver upload; accounting export; one TMS API later,Language and e-invoicing legal review complete
SAAS-003,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Mobile POD upload,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; TMS CSV first; driver upload; accounting export; one TMS API later,CAD willingness-to-pay and timezone support validated
SAAS-003,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Mobile POD upload,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; TMS CSV first; driver upload; accounting export; one TMS API later",Choose one country; legal/PSP/data path and2 pilots
SAAS-003,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Mobile POD upload,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; TMS CSV first; driver upload; accounting export; one TMS API later,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-004,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Mobile change log,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; CSV; email; document storage; accounting export,3 unrelated pilots; legal data path before live processing
SAAS-004,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Mobile change log,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; CSV; email; document storage; accounting export,2 prepaid customers; qualified partner; support economics viable
SAAS-004,3 France,French; French accounting terminology,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Mobile change log,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; CSV; email; document storage; accounting export,2 paid pilots; one supported connector; real competitive win
SAAS-004,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Mobile change log,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; CSV; email; document storage; accounting export,Language and e-invoicing legal review complete
SAAS-004,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Mobile change log,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; CSV; email; document storage; accounting export,CAD willingness-to-pay and timezone support validated
SAAS-004,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Mobile change log,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; CSV; email; document storage; accounting export",Choose one country; legal/PSP/data path and2 pilots
SAAS-004,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 3500.0MAD / 499.0EUR / 599.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Mobile change log,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; CSV; email; document storage; accounting export,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-005,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 6000.0MAD / 799.0EUR / 999.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: PDF table extraction,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; One ERP CSV; shared inbox; Odoo/Sage connector later,3 unrelated pilots; legal data path before live processing
SAAS-005,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 6000.0MAD / 799.0EUR / 999.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: PDF table extraction,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; One ERP CSV; shared inbox; Odoo/Sage connector later,2 prepaid customers; qualified partner; support economics viable
SAAS-005,3 France,French; French accounting terminology,Local price-test; Pro baseline 6000.0MAD / 799.0EUR / 999.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: PDF table extraction,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; One ERP CSV; shared inbox; Odoo/Sage connector later,2 paid pilots; one supported connector; real competitive win
SAAS-005,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 6000.0MAD / 799.0EUR / 999.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: PDF table extraction,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; One ERP CSV; shared inbox; Odoo/Sage connector later,Language and e-invoicing legal review complete
SAAS-005,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 6000.0MAD / 799.0EUR / 999.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: PDF table extraction,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; One ERP CSV; shared inbox; Odoo/Sage connector later,CAD willingness-to-pay and timezone support validated
SAAS-005,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 6000.0MAD / 799.0EUR / 999.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: PDF table extraction,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; One ERP CSV; shared inbox; Odoo/Sage connector later",Choose one country; legal/PSP/data path and2 pilots
SAAS-005,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 6000.0MAD / 799.0EUR / 999.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: PDF table extraction,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; One ERP CSV; shared inbox; Odoo/Sage connector later,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-006,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 799.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Tender import,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; DOCX/XLSX/PDF first; SharePoint later,3 unrelated pilots; legal data path before live processing
SAAS-006,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 799.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Tender import,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; DOCX/XLSX/PDF first; SharePoint later,2 prepaid customers; qualified partner; support economics viable
SAAS-006,3 France,French; French accounting terminology,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 799.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Tender import,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; DOCX/XLSX/PDF first; SharePoint later,2 paid pilots; one supported connector; real competitive win
SAAS-006,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 799.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Tender import,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; DOCX/XLSX/PDF first; SharePoint later,Language and e-invoicing legal review complete
SAAS-006,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 799.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Tender import,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; DOCX/XLSX/PDF first; SharePoint later,CAD willingness-to-pay and timezone support validated
SAAS-006,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 799.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Tender import,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; DOCX/XLSX/PDF first; SharePoint later",Choose one country; legal/PSP/data path and2 pilots
SAAS-006,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 4500.0MAD / 599.0EUR / 799.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Tender import,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; DOCX/XLSX/PDF first; SharePoint later,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-007,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 1800.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Time CSV import,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; Harvest/Toggl CSV; project export; Slack later,3 unrelated pilots; legal data path before live processing
SAAS-007,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 1800.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Time CSV import,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; Harvest/Toggl CSV; project export; Slack later,2 prepaid customers; qualified partner; support economics viable
SAAS-007,3 France,French; French accounting terminology,Local price-test; Pro baseline 1800.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Time CSV import,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; Harvest/Toggl CSV; project export; Slack later,2 paid pilots; one supported connector; real competitive win
SAAS-007,4 Belgium,French first; Dutch for Flanders,Local price-test; Pro baseline 1800.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Time CSV import,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; Harvest/Toggl CSV; project export; Slack later,Language and e-invoicing legal review complete
SAAS-007,5 Canada,French in Quebec; English elsewhere,Local price-test; Pro baseline 1800.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Time CSV import,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; Harvest/Toggl CSV; project export; Slack later,CAD willingness-to-pay and timezone support validated
SAAS-007,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,Local price-test; Pro baseline 1800.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Time CSV import,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; Harvest/Toggl CSV; project export; Slack later",Choose one country; legal/PSP/data path and2 pilots
SAAS-007,7 Wider global / USA,English; other languages only with demand,Local price-test; Pro baseline 1800.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Time CSV import,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; Harvest/Toggl CSV; project export; Slack later,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-008,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 1500.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Consent/preferences,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; Calendar/CSV; SMS provider; approved messaging only,3 unrelated pilots; legal data path before live processing
SAAS-008,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 1500.0MAD / 199.0EUR / 249.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Consent/preferences,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; Calendar/CSV; SMS provider; approved messaging only,2 prepaid customers; qualified partner; support economics viable
