Opportunity ID,Rank,Opportunity,Market,ICP,Monthly Price,High-Ticket Potential,Demand,Pain,WTP,CAC Potential,Advertising,Sales Difficulty,Retention,MVP Speed,Competition,Moat,Morocco Advantage,Global Potential,AI Advantage,ROI Clarity,Risk,Final Score /100,Build Priority,Final Verdict
SAAS-015,11,Staffing timesheet-to-invoice reconciliation,Global,Staffing agencies; 10–50 office staff; 100+ active placements,"ASSUMPTION: MAD3,500/mo or USD599/mo internationally",8,8,8,8,6,6,5,8,6,5,6,6,8,6,9,6,74.4,Do not build yet,VALIDATE
SAAS-019,12,Moroccan payroll engine,Morocco,SMEs; 20–250 staff,DATA NOT VERIFIED,7,9,9,8,5,5,6,10,2,4,6,9,3,3,8,8,72.8,Do not build yet,REJECT
SAAS-014,13,Multi-site purchase and AP approval desk,Global,Distributors/service groups; 30–200 staff; 3+ sites,"ASSUMPTION: MAD4,500/mo or USD749/mo internationally",8,8,8,8,5,6,6,8,6,4,5,7,8,7,8,6,72.7,Do not build yet,VALIDATE
SAAS-011,14,Property maintenance triage and contractor evidence,Morocco → Global,Property managers; 200–1500 units; 5–30 staff,"ASSUMPTION: MAD2,000/mo or USD349/mo internationally",7,8,7,7,6,7,5,8,7,5,6,8,8,5,8,6,72.4,Do not build yet,VALIDATE
SAAS-013,15,MSP customer security-evidence collection,Global,MSPs; 10–100 staff; 20+ managed business clients,"ASSUMPTION: MAD5,500/mo or USD899/mo internationally",9,8,8,8,5,6,6,8,5,4,6,5,9,7,7,7,72.4,Do not build yet,VALIDATE
SAAS-033,16,CBAM supplier evidence collection,Morocco → Europe,Covered metal exporters supplying obligated EU importers,DATA NOT VERIFIED,9,8,9,8,5,5,6,8,3,5,6,9,6,6,7,7,72.1,Do not build yet,WATCH
SAAS-012,17,Riad group inquiry to deposit workflow,Morocco → Global,Riad groups/DMCs; 3–15 properties or 10–50 staff,"ASSUMPTION: MAD1,800/mo or USD299/mo internationally",6,8,7,6,7,7,4,7,8,5,6,9,8,6,8,6,71.0,Do not build yet,VALIDATE
SAAS-016,18,Retail replenishment exceptions,Morocco → Global,Specialty retailers; 3–20 stores,DATA NOT VERIFIED,7,8,8,7,5,5,6,8,5,4,5,8,8,6,8,6,70.7,Do not build yet,VALIDATE
SAAS-020,19,COD return and settlement reconciliation,Morocco → Africa,COD merchants; 1000+ orders/month,DATA NOT VERIFIED,6,8,8,6,6,6,5,7,6,5,6,9,6,6,9,6,70.5,Do not build yet,VALIDATE
SAAS-034,20,Auto workshop approval-to-job-card,Morocco → Africa,Independent garages; 5–25 technicians,DATA NOT VERIFIED,5,8,7,6,6,6,5,8,7,5,6,9,7,4,9,6,70.2,Do not build yet,VALIDATE
SAAS-040,21,SME vendor onboarding and document expiry,Global,Facility groups; 50–250 staff; 100+ vendors,DATA NOT VERIFIED,8,7,7,7,5,5,6,8,7,5,6,6,8,6,7,6,68.9,Do not build yet,VALIDATE
SAAS-017,22,Restaurant purchasing and recipe-cost variance,Morocco → Global,Restaurant groups; 3–15 locations,DATA NOT VERIFIED,6,8,8,6,5,5,6,7,6,5,5,8,7,5,9,6,68.7,Do not build yet,VALIDATE
SAAS-039,23,Full dental practice management,Morocco,Dental practices; 1–10 dentists,DATA NOT VERIFIED,6,9,8,7,5,5,6,9,2,3,5,8,4,5,8,8,68.7,Do not build yet,REJECT
SAAS-024,24,Generic AI customer-support agent,Global,Online SMBs; 1000+ tickets/month,DATA NOT VERIFIED,7,9,7,7,3,3,8,6,6,2,3,5,10,9,8,8,65.6,Do not build yet,REJECT
SAAS-027,25,SME contract renewal obligations,Global,SMEs; 50–250 staff; 100+ contracts,DATA NOT VERIFIED,7,7,7,7,4,4,7,8,6,4,5,5,8,7,7,6,65.5,Do not build yet,WATCH
SAAS-028,26,Standalone compliant e-invoicing platform,Europe,VAT-registered SMEs,DATA NOT VERIFIED,6,10,8,6,4,4,7,9,2,2,4,5,5,4,8,8,65.4,Do not build yet,REJECT
SAAS-038,27,Horizontal WhatsApp team inbox,Morocco → Global,SMBs; 3–20 sales agents,DATA NOT VERIFIED,5,9,7,5,5,5,6,7,6,2,3,8,8,7,7,8,64.6,Do not build yet,REJECT
SAAS-030,28,Horizontal workflow automation platform,Global,SMEs integrating many tools,DATA NOT VERIFIED,7,9,7,7,3,3,8,7,2,1,2,4,10,8,8,8,62.8,Do not build yet,REJECT
SAAS-018,29,SME leave and employee document workflow,Morocco,SMEs; 30–150 staff,DATA NOT VERIFIED,5,8,6,5,5,5,6,8,8,3,4,8,5,4,6,6,61.7,Do not build yet,WATCH
SAAS-025,30,SMB customer-success health dashboard,Global,B2B SaaS; 10–100 staff,DATA NOT VERIFIED,7,7,7,7,4,4,7,7,6,3,4,3,9,6,5,6,61.7,Do not build yet,WATCH
SAAS-036,31,Localized employee cyber-awareness training,Morocco → Africa,Regulated SMEs; 50–500 employees,DATA NOT VERIFIED,7,7,7,6,4,4,7,6,7,4,5,8,7,6,5,6,61.7,Do not build yet,WATCH
SAAS-021,32,Generic SME CRM,Global,SMEs; 5–100 staff,DATA NOT VERIFIED,6,10,6,6,3,3,8,7,6,1,2,4,10,5,6,8,61.2,Do not build yet,REJECT
SAAS-023,33,SMB multi-touch advertising attribution,Global,DTC advertisers spending $20000+/month,DATA NOT VERIFIED,7,8,7,7,4,4,7,6,3,3,4,4,9,7,5,6,61.0,Do not build yet,WATCH
SAAS-022,34,Generic lead database and outbound sequencer,Global,Sales teams; 5–50 reps,DATA NOT VERIFIED,7,9,7,7,3,3,8,5,4,1,2,4,10,6,7,8,59.7,Do not build yet,REJECT
SAAS-032,35,Generic project management,Global,Knowledge-work teams,DATA NOT VERIFIED,5,10,5,5,2,3,9,6,7,1,2,4,10,4,5,8,56.2,Do not build yet,REJECT
SAAS-031,36,Generic internal-tool builder,Global,Technical SMBs,DATA NOT VERIFIED,6,8,6,6,3,3,8,6,3,1,2,3,10,8,6,8,56.1,Do not build yet,REJECT
SAAS-029,37,Generic AI business-intelligence dashboard,Global,SMEs with spreadsheet reports,DATA NOT VERIFIED,5,8,5,5,3,3,8,5,6,1,2,4,10,8,5,8,53.9,Do not build yet,REJECT
SAAS-035,38,Generic learning management platform,Global,Small training organizations,DATA NOT VERIFIED,4,8,5,4,3,3,8,6,7,1,2,5,9,5,5,8,51.8,Do not build yet,REJECT
SAAS-026,39,General appointment scheduling,Global,Freelancers and microbusinesses,DATA NOT VERIFIED,2,9,4,3,3,3,8,5,9,1,2,5,10,3,5,8,50.3,Do not build yet,REJECT
SAAS-037,40,General-purpose autonomous AI employee,Global,Unspecified SMB buyers,DATA NOT VERIFIED,5,8,5,5,2,3,9,3,5,1,1,4,10,10,3,8,46.5,Do not build yet,REJECT
