Opportunity ID,Market,Plan,Monthly Price,Annual Price,Target Customer,Expected ARPU,Gross Margin %,Estimated CAC,Monthly Churn %,Estimated LTV,LTV:CAC,Payback Months,Customers for $10k MRR,Customers for $50k MRR,Customers for $100k MRR,Confidence Level,Assumptions
SAAS-001,Europe,Enterprise,EUR1200,EUR12960,Industrial distributors; 10–75 staff; 200+ credit invoices/month,EUR299 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD5920–6710 (24-month capped GP proxy),4.2–16.8,1.4–5.7,31,153,305,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Europe,High-ticket / custom,EUR1790,EUR19332,Industrial distributors; 10–75 staff; 200+ credit invoices/month,EUR299 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD5920–6710 (24-month capped GP proxy),4.2–16.8,1.4–5.7,31,153,305,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,USA / International,Free strategy,No ongoing free plan / sandbox only,N/A,Industrial distributors; 10–75 staff; 200+ credit invoices/month,USD349 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD6282–7120 (24-month capped GP proxy),4.5–17.8,1.3–5.3,29,144,287,LOW — all economics modeled,"ASSUMPTION: No permanent free production plan; redacted-data audit; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,USA / International,Trial strategy,No ongoing free plan / sandbox only,N/A,Industrial distributors; 10–75 staff; 200+ credit invoices/month,USD349 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD6282–7120 (24-month capped GP proxy),4.5–17.8,1.3–5.3,29,144,287,LOW — all economics modeled,"ASSUMPTION: 14-day sandbox;30-day paid concierge pilot at Pro; no fake free delivery; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,USA / International,Starter,USD210,USD2268,Industrial distributors; 10–75 staff; 200+ credit invoices/month,USD349 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD6282–7120 (24-month capped GP proxy),4.5–17.8,1.3–5.3,29,144,287,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,USA / International,Professional,USD349,USD3769,Industrial distributors; 10–75 staff; 200+ credit invoices/month,USD349 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD6282–7120 (24-month capped GP proxy),4.5–17.8,1.3–5.3,29,144,287,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,USA / International,Business,USD700,USD7560,Industrial distributors; 10–75 staff; 200+ credit invoices/month,USD349 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD6282–7120 (24-month capped GP proxy),4.5–17.8,1.3–5.3,29,144,287,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,USA / International,Enterprise,USD1400,USD15120,Industrial distributors; 10–75 staff; 200+ credit invoices/month,USD349 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD6282–7120 (24-month capped GP proxy),4.5–17.8,1.3–5.3,29,144,287,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,USA / International,High-ticket / custom,USD2090,USD22572,Industrial distributors; 10–75 staff; 200+ credit invoices/month,USD349 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD6282–7120 (24-month capped GP proxy),4.5–17.8,1.3–5.3,29,144,287,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Morocco,Free strategy,No ongoing free plan / sandbox only,N/A,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,MAD6000 professional baseline; mixed ARPU UNKNOWN,60–80,USD250–900,0.7–2.0,USD8640–11520 (24-month capped GP proxy),9.6–46.1,0.5–2.5,17,84,167,LOW — all economics modeled,"ASSUMPTION: No permanent free production plan; redacted-data audit; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Morocco,Trial strategy,No ongoing free plan / sandbox only,N/A,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,MAD6000 professional baseline; mixed ARPU UNKNOWN,60–80,USD250–900,0.7–2.0,USD8640–11520 (24-month capped GP proxy),9.6–46.1,0.5–2.5,17,84,167,LOW — all economics modeled,"ASSUMPTION: 14-day sandbox;30-day paid concierge pilot at Pro; no fake free delivery; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Morocco,Starter,MAD3600,MAD38880,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,MAD6000 professional baseline; mixed ARPU UNKNOWN,60–80,USD250–900,0.7–2.0,USD8640–11520 (24-month capped GP proxy),9.6–46.1,0.5–2.5,17,84,167,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Morocco,Professional,MAD6000,MAD64800,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,MAD6000 professional baseline; mixed ARPU UNKNOWN,60–80,USD250–900,0.7–2.0,USD8640–11520 (24-month capped GP proxy),9.6–46.1,0.5–2.5,17,84,167,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Morocco,Business,MAD12000,MAD129600,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,MAD6000 professional baseline; mixed ARPU UNKNOWN,60–80,USD250–900,0.7–2.0,USD8640–11520 (24-month capped GP proxy),9.6–46.1,0.5–2.5,17,84,167,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Morocco,Enterprise,MAD24000,MAD259200,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,MAD6000 professional baseline; mixed ARPU UNKNOWN,60–80,USD250–900,0.7–2.0,USD8640–11520 (24-month capped GP proxy),9.6–46.1,0.5–2.5,17,84,167,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Morocco,High-ticket / custom,MAD36000,MAD388800,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,MAD6000 professional baseline; mixed ARPU UNKNOWN,60–80,USD250–900,0.7–2.0,USD8640–11520 (24-month capped GP proxy),9.6–46.1,0.5–2.5,17,84,167,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Europe,Free strategy,No ongoing free plan / sandbox only,N/A,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,EUR799 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD12656–16875 (24-month capped GP proxy),2.5–11.2,2.1–9.5,12,57,114,LOW — all economics modeled,"ASSUMPTION: No permanent free production plan; redacted-data audit; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Europe,Trial strategy,No ongoing free plan / sandbox only,N/A,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,EUR799 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD12656–16875 (24-month capped GP proxy),2.5–11.2,2.1–9.5,12,57,114,LOW — all economics modeled,"ASSUMPTION: 14-day sandbox;30-day paid concierge pilot at Pro; no fake free delivery; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Europe,Starter,EUR480,EUR5184,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,EUR799 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD12656–16875 (24-month capped GP proxy),2.5–11.2,2.1–9.5,12,57,114,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Europe,Professional,EUR799,EUR8629,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,EUR799 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD12656–16875 (24-month capped GP proxy),2.5–11.2,2.1–9.5,12,57,114,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Europe,Business,EUR1600,EUR17280,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,EUR799 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD12656–16875 (24-month capped GP proxy),2.5–11.2,2.1–9.5,12,57,114,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Europe,Enterprise,EUR3200,EUR34560,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,EUR799 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD12656–16875 (24-month capped GP proxy),2.5–11.2,2.1–9.5,12,57,114,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,Europe,High-ticket / custom,EUR4790,EUR51732,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,EUR799 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD12656–16875 (24-month capped GP proxy),2.5–11.2,2.1–9.5,12,57,114,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,USA / International,Free strategy,No ongoing free plan / sandbox only,N/A,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,USD999 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD14386–19181 (24-month capped GP proxy),2.9–12.8,1.9–8.3,11,51,101,LOW — all economics modeled,"ASSUMPTION: No permanent free production plan; redacted-data audit; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,USA / International,Trial strategy,No ongoing free plan / sandbox only,N/A,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,USD999 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD14386–19181 (24-month capped GP proxy),2.9–12.8,1.9–8.3,11,51,101,LOW — all economics modeled,"ASSUMPTION: 14-day sandbox;30-day paid concierge pilot at Pro; no fake free delivery; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,USA / International,Starter,USD600,USD6480,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,USD999 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD14386–19181 (24-month capped GP proxy),2.9–12.8,1.9–8.3,11,51,101,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,USA / International,Professional,USD999,USD10789,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,USD999 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD14386–19181 (24-month capped GP proxy),2.9–12.8,1.9–8.3,11,51,101,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,USA / International,Business,USD2000,USD21600,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,USD999 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD14386–19181 (24-month capped GP proxy),2.9–12.8,1.9–8.3,11,51,101,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,USA / International,Enterprise,USD4000,USD43200,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,USD999 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD14386–19181 (24-month capped GP proxy),2.9–12.8,1.9–8.3,11,51,101,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-005,USA / International,High-ticket / custom,USD5990,USD64692,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,USD999 professional baseline; mixed ARPU UNKNOWN,60–80,USD1500–5000,0.7–2.0,USD14386–19181 (24-month capped GP proxy),2.9–12.8,1.9–8.3,11,51,101,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-003,Morocco,Free strategy,No ongoing free plan / sandbox only,N/A,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,MAD3500 professional baseline; mixed ARPU UNKNOWN,70–85,USD250–900,0.8–2.0,USD5880–7140 (24-month capped GP proxy),6.5–28.6,0.8–3.7,29,143,286,LOW — all economics modeled,"ASSUMPTION: No permanent free production plan; redacted-data audit; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
