Opportunity ID,Opportunity,Market Risk,Product Risk,Competition Risk,CAC Risk,Retention Risk,Technical Risk,Regulatory Risk,Platform Dependency,Localization Risk,Cash Flow Risk,Founder Dependency,Overall Risk /10,Mitigation
SAAS-015,Staffing timesheet-to-invoice reconciliation,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Payroll boundary and ATS bundling; worker-data security,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-019,Moroccan payroll engine,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,"REJECT initial build: compliance, liability, support; not 12-week safe MVP","CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-014,Multi-site purchase and AP approval desk,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,ERP bundling; payment controls and implementation,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-011,Property maintenance triage and contractor evidence,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Bundled property platforms and tenant support load,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-013,MSP customer security-evidence collection,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Security trust hurdle; Vanta/Drata and PSA incumbents,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,7,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-033,CBAM supplier evidence collection,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Expert-dependent; scope/exemptions shrink SAM; longer compliant MVP,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,7,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-012,Riad group inquiry to deposit workflow,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Seasonality; PMS and OTA integrations; avoid full PMS,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-016,Retail replenishment exceptions,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Needs reliable stock data; POS bundling,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-020,COD return and settlement reconciliation,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Courier APIs and merchant churn; platform dependence,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-034,Auto workshop approval-to-job-card,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Local field onboarding and weak data discipline,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-040,SME vendor onboarding and document expiry,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Enterprise approval chains; document validity requires humans,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-017,Restaurant purchasing and recipe-cost variance,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Inventory discipline and low local WTP,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-039,Full dental practice management,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,"REJECT full suite: health-data regulation, migration and entrenched tools","CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-024,Generic AI customer-support agent,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT generic: incumbents bundle AI; expensive failures,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-027,SME contract renewal obligations,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,"Legal review, confidentiality and infrequent engagement","CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-028,Standalone compliant e-invoicing platform,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT own regulated network; integrate approved platforms instead,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-038,Horizontal WhatsApp team inbox,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT generic: platform dependence and many mature BSPs,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-030,Horizontal workflow automation platform,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT: connector maintenance and incumbent ecosystems,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-018,SME leave and employee document workflow,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Payroll suites bundle it; weak incremental ROI,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-025,SMB customer-success health dashboard,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Nice-to-have unless embedded in renewal workflow,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-036,Localized employee cyber-awareness training,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Renewal engagement weak; simulated phishing consent concerns,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-021,Generic SME CRM,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT: weak wedge against established CRM platforms,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-023,SMB multi-touch advertising attribution,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Platform restrictions and unprovable attribution; downgrade,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-022,Generic lead database and outbound sequencer,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,"REJECT: data access, deliverability, privacy and commoditization","CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-032,Generic project management,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT: ubiquitous free and bundled tools,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-031,Generic internal-tool builder,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT: AI coding and incumbent platforms,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-029,Generic AI business-intelligence dashboard,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT: poor differentiation versus BI and spreadsheets,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-035,Generic learning management platform,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT: abundant free and mature alternatives,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-026,General appointment scheduling,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,REJECT: free/bundled substitutes and low ARPU,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-037,General-purpose autonomous AI employee,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,"REJECT: unspecified buyer, reliability, churn and usage cost","CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,8,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
