Opportunity ID,Scenario,Month,Customers,New Customers,Churned Customers,ARPU,MRR,ARR,CAC,Acquisition Cost,Product Costs,Team Costs,Marketing Costs,Other Costs,Total Costs,Gross Profit,Net Profit
SAAS-001,Base,7,26.26,7,0.29,250,6565.56,78786.76,800,5600,1331.8,6500,300,500,14231.8,5233.76,-7666.24
SAAS-001,Base,8,33.87,8,0.39,250,8467.08,101604.96,800,6400,1674.07,6500,300,500,15374.07,6793.01,-6906.99
SAAS-001,Base,9,41.36,8,0.51,250,10340.07,124080.89,800,6400,2011.21,6500,300,500,15711.21,8328.86,-5371.14
SAAS-001,Base,10,49.74,9,0.62,250,12434.97,149219.67,800,7200,2388.3,6500,300,500,16888.3,10046.68,-4453.32
SAAS-001,Base,11,58.99,10,0.75,250,14748.45,176981.38,800,8000,2804.72,6500,300,500,18104.72,11943.73,-3356.27
SAAS-001,Base,12,68.11,10,0.88,250,17027.22,204326.66,800,8000,3214.9,6500,300,500,18514.9,13812.32,-1487.68
SAAS-001,Base,13,79.09,12,1.02,250,19771.81,237261.76,800,9600,3708.93,10000,300,500,24108.93,16062.89,-4337.11
SAAS-001,Base,14,89.9,12,1.19,250,22475.24,269702.83,800,9600,4195.54,10000,300,500,24595.54,18279.69,-2120.31
SAAS-001,Base,15,100.55,12,1.35,250,25138.11,301657.29,800,9600,4674.86,10000,300,500,25074.86,20463.25,63.25
SAAS-001,Base,16,111.04,12,1.51,250,27761.04,333132.43,800,9600,5146.99,10000,300,500,25546.99,22614.05,2214.05
SAAS-001,Base,17,121.38,12,1.67,250,30344.62,364135.44,800,9600,5612.03,10000,300,500,26012.03,24732.59,4332.59
SAAS-001,Base,18,131.56,12,1.82,250,32889.45,394673.41,800,9600,6070.1,10000,300,500,26470.1,26819.35,6419.35
SAAS-001,Base,19,141.58,12,1.97,250,35396.11,424753.31,800,9600,6521.3,10000,300,500,26921.3,28874.81,8474.81
SAAS-001,Base,20,151.46,12,2.12,250,37865.17,454382.01,800,9600,6965.73,10000,300,500,27365.73,30899.44,10499.44
SAAS-001,Base,21,161.19,12,2.27,250,40297.19,483566.28,800,9600,7403.49,10000,300,500,27803.49,32893.7,12493.7
SAAS-001,Base,22,170.77,12,2.42,250,42692.73,512312.79,800,9600,7834.69,10000,300,500,28234.69,34858.04,14458.04
SAAS-001,Base,23,180.21,12,2.56,250,45052.34,540628.09,800,9600,8259.42,10000,300,500,28659.42,36792.92,16392.92
SAAS-001,Base,24,189.51,12,2.7,250,47376.56,568518.67,800,9600,8677.78,10000,300,500,29077.78,38698.78,18298.78
SAAS-001,Aggressive,1,1.0,1,0.0,300,300.0,3600.0,650,650,195.0,4500,600,900,6845.0,105.0,-6545.0
SAAS-001,Aggressive,2,3.99,3,0.01,300,1197.0,14364.0,650,1950,329.55,4500,600,900,8279.55,867.45,-7082.55
SAAS-001,Aggressive,3,8.95,5,0.04,300,2685.03,32220.36,650,3250,552.75,4500,600,900,9802.75,2132.28,-7117.72
SAAS-001,Aggressive,4,15.86,7,0.09,300,4758.18,57098.16,650,4550,863.73,7000,600,900,13913.73,3894.45,-9155.55
SAAS-001,Aggressive,5,25.7,10,0.16,300,7710.6,92527.17,650,6500,1306.59,7000,600,900,16306.59,6404.01,-8595.99
SAAS-001,Aggressive,6,37.44,12,0.26,300,11233.49,134801.9,650,7800,1835.02,7000,600,900,18135.02,9398.47,-6901.53
SAAS-001,Aggressive,7,52.07,15,0.37,300,15621.16,187453.88,650,9750,2493.17,12000,600,900,25743.17,13127.98,-10122.02
SAAS-001,Aggressive,8,69.55,18,0.52,300,20864.95,250379.35,650,11700,3279.74,12000,600,900,28479.74,17585.2,-7614.8
SAAS-001,Aggressive,9,88.85,20,0.7,300,26656.3,319875.55,650,13000,4148.44,12000,600,900,30648.44,22507.85,-3992.15
SAAS-001,Aggressive,10,109.97,22,0.89,300,32989.73,395876.8,650,14300,5098.46,12000,600,900,32898.46,27891.27,91.27
SAAS-001,Aggressive,11,133.87,25,1.1,300,40159.84,481918.03,650,16250,6173.98,12000,600,900,35923.98,33985.86,4235.86
SAAS-001,Aggressive,12,160.53,28,1.34,300,48158.24,577898.85,650,18200,7373.74,12000,600,900,39073.74,40784.5,9084.5
SAAS-001,Aggressive,13,188.92,30,1.61,300,56676.65,680119.86,650,19500,8651.5,22000,600,900,51651.5,48025.16,5025.16
SAAS-001,Aggressive,14,217.03,30,1.89,300,65109.89,781318.66,650,19500,9916.48,22000,600,900,52916.48,55193.41,12193.41
SAAS-001,Aggressive,15,244.86,30,2.17,300,73458.79,881505.47,650,19500,11168.82,22000,600,900,54168.82,62289.97,19289.97
SAAS-001,Aggressive,16,272.41,30,2.45,300,81724.2,980690.42,650,19500,12408.63,22000,600,900,55408.63,69315.57,26315.57
SAAS-001,Aggressive,17,299.69,30,2.72,300,89906.96,1078883.52,650,19500,13636.04,22000,600,900,56636.04,76270.92,33270.92
SAAS-001,Aggressive,18,326.69,30,3.0,300,98007.89,1176094.68,650,19500,14851.18,22000,600,900,57851.18,83156.71,40156.71
SAAS-001,Aggressive,19,353.43,30,3.27,300,106027.81,1272333.73,650,19500,16054.17,22000,600,900,59054.17,89973.64,46973.64
SAAS-001,Aggressive,20,379.89,30,3.53,300,113967.53,1367610.4,650,19500,17245.13,22000,600,900,60245.13,96722.4,53722.4
SAAS-001,Aggressive,21,406.09,30,3.8,300,121827.86,1461934.29,650,19500,18424.18,22000,600,900,61424.18,103403.68,60403.68
SAAS-001,Aggressive,22,432.03,30,4.06,300,129609.58,1555314.95,650,19500,19591.44,22000,600,900,62591.44,110018.14,67018.14
SAAS-001,Aggressive,23,457.71,30,4.32,300,137313.48,1647761.8,650,19500,20747.02,22000,600,900,63747.02,116566.46,73566.46
SAAS-001,Aggressive,24,483.13,30,4.58,300,144940.35,1739284.18,650,19500,21891.05,22000,600,900,64891.05,123049.3,80049.3
